@RELATION generalization_optdigits

@ATTRIBUTE bloco_00 numeric
@ATTRIBUTE bloco_01 numeric
@ATTRIBUTE bloco_02 numeric
@ATTRIBUTE bloco_03 numeric
@ATTRIBUTE bloco_04 numeric
@ATTRIBUTE bloco_05 numeric
@ATTRIBUTE bloco_06 numeric
@ATTRIBUTE bloco_07 numeric
@ATTRIBUTE bloco_10 numeric
@ATTRIBUTE bloco_11 numeric
@ATTRIBUTE bloco_12 numeric
@ATTRIBUTE bloco_13 numeric
@ATTRIBUTE bloco_14 numeric
@ATTRIBUTE bloco_15 numeric
@ATTRIBUTE bloco_16 numeric
@ATTRIBUTE bloco_17 numeric
@ATTRIBUTE bloco_20 numeric
@ATTRIBUTE bloco_21 numeric
@ATTRIBUTE bloco_22 numeric
@ATTRIBUTE bloco_23 numeric
@ATTRIBUTE bloco_24 numeric
@ATTRIBUTE bloco_25 numeric
@ATTRIBUTE bloco_26 numeric
@ATTRIBUTE bloco_27 numeric
@ATTRIBUTE bloco_30 numeric
@ATTRIBUTE bloco_31 numeric
@ATTRIBUTE bloco_32 numeric
@ATTRIBUTE bloco_33 numeric
@ATTRIBUTE bloco_34 numeric
@ATTRIBUTE bloco_35 numeric
@ATTRIBUTE bloco_36 numeric
@ATTRIBUTE bloco_37 numeric
@ATTRIBUTE bloco_40 numeric
@ATTRIBUTE bloco_41 numeric
@ATTRIBUTE bloco_42 numeric
@ATTRIBUTE bloco_43 numeric
@ATTRIBUTE bloco_44 numeric
@ATTRIBUTE bloco_45 numeric
@ATTRIBUTE bloco_46 numeric
@ATTRIBUTE bloco_47 numeric
@ATTRIBUTE bloco_50 numeric
@ATTRIBUTE bloco_51 numeric
@ATTRIBUTE bloco_52 numeric
@ATTRIBUTE bloco_53 numeric
@ATTRIBUTE bloco_54 numeric
@ATTRIBUTE bloco_55 numeric
@ATTRIBUTE bloco_56 numeric
@ATTRIBUTE bloco_57 numeric
@ATTRIBUTE bloco_60 numeric
@ATTRIBUTE bloco_61 numeric
@ATTRIBUTE bloco_62 numeric
@ATTRIBUTE bloco_63 numeric
@ATTRIBUTE bloco_64 numeric
@ATTRIBUTE bloco_65 numeric
@ATTRIBUTE bloco_66 numeric
@ATTRIBUTE bloco_67 numeric
@ATTRIBUTE bloco_70 numeric
@ATTRIBUTE bloco_71 numeric
@ATTRIBUTE bloco_72 numeric
@ATTRIBUTE bloco_73 numeric
@ATTRIBUTE bloco_74 numeric
@ATTRIBUTE bloco_75 numeric
@ATTRIBUTE bloco_76 numeric
@ATTRIBUTE bloco_77 numeric
@ATTRIBUTE class_digito {0,1,2,3,4,5,6,7,8,9}

@DATA

1,0,5,13,9,1,0,0,0,0,13,15,10,15,5,0,0,3,15,2,0,11,8,0,0,4,12,0,0,8,8,0,0,5,8,0,0,9,8,0,0,4,11,0,1,12,7,0,0,2,14,5,10,12,0,0,0,0,6,13,10,0,0,0,0
2,0,0,12,13,5,0,0,0,0,0,11,16,9,0,0,0,0,3,15,16,6,0,0,0,7,15,16,16,2,0,0,0,0,1,16,16,3,0,0,0,0,1,16,16,6,0,0,0,0,1,16,16,6,0,0,0,0,0,11,16,10,0,0,1
1,0,0,4,15,12,0,0,0,0,3,16,15,14,0,0,0,0,8,13,8,16,0,0,0,0,1,6,15,11,0,0,0,1,8,13,15,1,0,0,0,9,16,16,5,0,0,0,0,3,13,16,16,11,5,0,0,0,0,3,11,16,9,0,2
2,0,7,15,13,1,0,0,0,8,13,6,15,4,0,0,0,2,1,13,13,0,0,0,0,0,2,15,11,1,0,0,0,0,0,1,12,12,1,0,0,0,0,0,1,10,8,0,0,0,8,4,5,14,9,0,0,0,7,13,13,9,0,0,3
1,0,0,1,11,0,0,0,0,0,0,7,8,0,0,0,0,0,1,13,6,2,2,0,0,0,7,15,0,9,8,0,0,5,16,10,0,16,6,0,0,4,15,16,13,16,1,0,0,0,0,3,15,10,0,0,0,0,0,2,16,4,0,0,4
2,0,12,10,0,0,0,0,0,0,14,16,16,14,0,0,0,0,13,16,15,10,1,0,0,0,11,16,16,7,0,0,0,0,0,4,7,16,7,0,0,0,0,0,4,16,9,0,0,0,5,4,12,16,4,0,0,0,9,16,16,10,0,0,5
1,0,0,12,13,0,0,0,0,0,5,16,8,0,0,0,0,0,13,16,3,0,0,0,0,0,14,13,0,0,0,0,0,0,15,12,7,2,0,0,0,0,13,16,13,16,3,0,0,0,7,16,11,15,8,0,0,0,1,9,15,11,3,0,6
2,0,7,8,13,16,15,1,0,0,7,7,4,11,12,0,0,0,0,0,8,13,1,0,0,4,8,8,15,15,6,0,0,2,11,15,15,4,0,0,0,0,0,16,5,0,0,0,0,0,9,15,1,0,0,0,0,0,13,5,0,0,0,0,7
1,0,9,14,8,1,0,0,0,0,12,14,14,12,0,0,0,0,9,10,0,15,4,0,0,0,3,16,12,14,2,0,0,0,4,16,16,2,0,0,0,3,16,8,10,13,2,0,0,1,15,1,3,16,8,0,0,0,11,16,15,11,1,0,8
2,0,11,12,0,0,0,0,0,2,16,16,16,13,0,0,0,3,16,12,10,14,0,0,0,1,16,1,12,15,0,0,0,0,13,16,9,15,2,0,0,0,0,3,0,9,11,0,0,0,0,0,9,15,4,0,0,0,9,12,13,3,0,0,9
